anchor,positive,negative,label
augmentedv2_images\FMS-58-F_aug_1.jpg,augmentedv2_images\FMS-58-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-65-M.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_161_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_125_2.jpg,augmentedv2_images\FMSD-164-M_aug_1.jpg,none
augmentedv2_images\fs_222_1_aug_1.jpg,augmentedv2_images\fs_222_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-216-M.jpg,father-son
augmentedv2_images\fs_084_1_aug_1.jpg,augmentedv2_images\fs_013_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Arnold_Schwarzenegger\Arnold_Schwarzenegger_0016.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_037.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Children/Child_037.jpg,augmentedv2_images\ms_156_1_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-179-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-179-D.jpg,augmentedv2_images\FMS-153-F_aug_1.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_040.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Children/Child_040.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_188_1.jpg,father-dau
augmentedv2_images\md_166_1_aug_1.jpg,augmentedv2_images\md_099_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_211_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-126-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-126-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-188-F.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Andre_Agassi\Andre_Agassi_0013.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Andre_Agassi\Andre_Agassi_0032.jpg,augmentedv2_images\FMD-186-M_aug_1.jpg,similar face
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_059_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-dau\md_059_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_044_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_027_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\mother-son\ms_221_2.jpg,augmentedv2_images\md_011_1_aug_1.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-28-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-28-D.jpg,augmentedv2_images\Bill_Clinton_0002_aug_1.jpg,mother-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-230-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMS\FMS-230-S.jpg,augmentedv2_images\fd_228_1_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_196_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_166_2.jpg,augmentedv2_images\FMSD-166-M_aug_1.jpg,none
augmentedv2_images\ms_214_1_aug_1.jpg,augmentedv2_images\ms_063_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Cate_Blanchett\Cate_Blanchett_0002.jpg,none
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-123-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-123-D.jpg,augmentedv2_images\Colin_Powell_0057_aug_1.jpg,mother-dau
augmentedv2_images\FMSD-64-F_aug_1.jpg,augmentedv2_images\FMSD-64-S_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-son\fs_033_1.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-115-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-115-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\lfw\lfw\Colin_Powell\Colin_Powell_0064.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-212-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-212-D.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMD\FMD-227-M.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-44-M.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-44-S.jpg,augmentedv2_images\FMSD-215-F_aug_1.jpg,mother-son
C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Parents/Parent_027.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\Cornell_Kin/KinshipVerification/Children/Child_027.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-216-M.jpg,father-son
C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_245_1.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_245_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-154-M.jpg,father-dau
C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-195-F.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-195-S.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_132_1.jpg,father-son
augmentedv2_images\fs_007_1_aug_1.jpg,augmentedv2_images\fs_107_2_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\KinFaceW-II\KinFaceW-II\images\father-dau\fd_161_1.jpg,none
augmentedv2_images\Alejandro_Toledo_0016_aug_1.jpg,augmentedv2_images\Alejandro_Toledo_0021_aug_2.jpg,C:\Users\gaura\OneDrive\Desktop\Thesis\TSKinFace_Data\TSKinFace_Data\TSKinFace_cropped\FMSD\FMSD-124-F.jpg,similar face
